Average Energy [GeV]    numu/m^2/GeV/POT
2.89999999999999979e-16    1.47799999999999991e-05
3.10000000000000008e-16    1.25799999999999998e-05
3.29999999999999988e-16    1.09200000000000005e-05
3.49999999999999968e-16    9.41999999999999959e-06
3.69999999999999997e-16    8.21999999999999923e-06
3.89999999999999977e-16    7.29999999999999956e-06
4.09999999999999957e-16    6.47999999999999979e-06
4.30000000000000085e-16    5.90000000000000026e-06
4.50000000000000015e-16    5.61999999999999956e-06
4.69999999999999946e-16    4.97999999999999975e-06
5.00000000000000039e-16    4.33999999999999995e-06
5.39999999999999999e-16    3.83999999999999966e-06
5.79999999999999958e-16    3.58000000000000003e-06
6.20000000000000017e-16    3.26000000000000013e-06
6.59999999999999976e-16    3.07999999999999973e-06
6.99999999999999936e-16    2.93999999999999980e-06
7.39999999999999994e-16    2.71999999999999979e-06
7.79999999999999954e-16    2.52000000000000001e-06
8.50000000000000007e-16    2.21999999999999992e-06
9.50000000000000054e-16    1.71400000000000002e-06
1.09999999999999993e-15    1.06999999999999992e-06
1.30000000000000002e-15    5.78000000000000014e-07
1.49999999999999992e-15    3.46000000000000001e-07
1.70000000000000001e-15    2.11999999999999993e-07
1.90000000000000011e-15    1.25599999999999986e-07
2.09999999999999981e-15    7.72000000000000031e-08
2.29999999999999990e-15    4.27999999999999994e-08
2.50000000000000000e-15    2.67999999999999984e-08
2.70000000000000009e-15    1.46000000000000000e-08
2.89999999999999979e-15    9.07999999999999925e-09
3.09999999999999989e-15    4.14000000000000018e-09
3.29999999999999998e-15    2.84000000000000012e-09
3.50000000000000007e-15    1.90999999999999981e-09
3.70000000000000017e-15    6.61999999999999989e-10
3.90000000000000026e-15    3.26000000000000012e-10
4.09999999999999957e-15    8.05999999999999983e-11
4.29999999999999966e-15    4.22000000000000003e-11
4.49999999999999976e-15    0.00000000000000000e+00
4.69999999999999985e-15    1.74000000000000006e-12
4.89999999999999995e-15    0.00000000000000000e+00
5.10000000000000004e-15    0.00000000000000000e+00
5.30000000000000014e-15    0.00000000000000000e+00
5.50000000000000023e-15    0.00000000000000000e+00
5.69999999999999954e-15    0.00000000000000000e+00
5.89999999999999963e-15    0.00000000000000000e+00
