                        Flux [/cm^2/50MeV/1E21POT]
Bin#   Energy           numu      numubar   nue       nuebar 
77     0.76 - 0.77      4.14e+10  7.74e+11  8.55e+08  5.32e+09 
78     0.77 - 0.78      4.12e+10  7.41e+11  8.31e+08  5.30e+09 
79     0.78 - 0.79      4.10e+10  6.94e+11  8.44e+08  5.12e+09 
80     0.79 - 0.80      3.93e+10  6.50e+11  8.41e+08  5.05e+09 
81     0.80 - 0.82      3.80e+10  5.92e+11  8.46e+08  4.79e+09 
82     0.82 - 0.84      3.71e+10  5.23e+11  8.24e+08  4.60e+09 
83     0.84 - 0.86      3.76e+10  4.56e+11  8.23e+08  4.43e+09 
84     0.86 - 0.88      3.72e+10  3.95e+11  8.07e+08  4.21e+09 
85     0.88 - 0.90      3.56e+10  3.40e+11  7.92e+08  4.05e+09 
86     0.90 - 0.95      3.44e+10  2.76e+11  7.85e+08  3.77e+09 
87     0.95 - 1.00      3.26e+10  2.10e+11  7.63e+08  3.26e+09 
88     1.00 - 1.05      3.08e+10  1.65e+11  7.55e+08  2.88e+09 
89     1.05 - 1.10      2.85e+10  1.36e+11  7.24e+08  2.55e+09 
90     1.10 - 1.15      2.74e+10  1.14e+11  7.12e+08  2.29e+09 
91     1.15 - 1.20      2.60e+10  9.65e+10  6.89e+08  2.07e+09 
92     1.20 - 1.30      2.40e+10  8.08e+10  6.66e+08  1.72e+09 
93     1.30 - 1.40      2.13e+10  6.33e+10  6.38e+08  1.43e+09 
94     1.40 - 1.50      1.93e+10  5.12e+10  6.19e+08  1.22e+09 
95     1.50 - 1.60      1.68e+10  4.25e+10  5.88e+08  1.06e+09 
96     1.60 - 1.70      1.56e+10  3.56e+10  5.60e+08  9.55e+08 
97     1.70 - 1.80      1.39e+10  3.11e+10  5.29e+08  8.68e+08 
98     1.80 - 1.90      1.23e+10  2.70e+10  5.06e+08  8.05e+08 
99     1.90 - 2.00      1.15e+10  2.38e+10  4.78e+08  7.41e+08 
100    2.00 - 2.10      1.02e+10  2.04e+10  4.58e+08  6.86e+08 
101    2.10 - 2.20      9.65e+09  1.80e+10  4.28e+08  6.48e+08 
102    2.20 - 2.30      9.03e+09  1.59e+10  4.15e+08  6.12e+08 
103    2.30 - 2.40      8.04e+09  1.43e+10  3.91e+08  5.66e+08 
104    2.40 - 2.60      7.49e+09  1.24e+10  3.58e+08  5.12e+08 
105    2.60 - 2.80      6.30e+09  1.02e+10  3.19e+08  4.48e+08 
106    2.80 - 3.00      5.46e+09  8.62e+09  2.87e+08  3.83e+08 
107    3.00 - 3.20      4.83e+09  7.44e+09  2.58e+08  3.25e+08 
108    3.20 - 3.40      4.11e+09  6.62e+09  2.30e+08  2.84e+08 
109    3.40 - 3.60      3.53e+09  5.93e+09  2.05e+08  2.41e+08 
110    3.60 - 3.80      3.23e+09  5.18e+09  1.86e+08  2.00e+08 
111    3.80 - 4.00      2.72e+09  4.59e+09  1.59e+08  1.71e+08 
112    4.00 - 4.50      2.33e+09  3.70e+09  1.32e+08  1.27e+08 
113    4.50 - 5.00      1.81e+09  2.55e+09  9.94e+07  8.58e+07 
114    5.00 - 6.00      1.30e+09  1.36e+09  6.39e+07  4.93e+07 
115    6.00 - 7.00      8.07e+08  6.34e+08  3.64e+07  2.47e+07 
116    7.00 - 8.00      5.60e+08  3.26e+08  2.01e+07  1.22e+07 
117    8.00 - 9.00      3.87e+08  1.68e+08  1.15e+07  5.86e+06 
118    9.00 - 10.00     2.68e+08  9.00e+07  6.23e+06  2.85e+06 
119    10.00 - 11.00    1.81e+08  4.11e+07  3.37e+06  1.74e+06 
