0.025 3.2999999999999997e-06
0.07500000000000001 1.362e-05
0.125 2.74e-05
0.175 4.2e-05
0.225 6.48e-05
0.275 9.32e-05
0.32499999999999996 0.0001304
0.375 0.0001702
0.42500000000000004 0.000212
0.475 0.00026
0.525 0.000284
0.575 0.000284
0.625 0.000266
0.675 0.000236
0.725 0.0001988
0.775 0.0001564
0.825 0.000115
0.875 8.24e-05
0.925 5.94e-05
0.975 4.4e-05
1.025 3.4e-05
1.0750000000000002 2.86e-05
1.125 2.4e-05
1.1749999999999998 1.946e-05
1.225 1.734e-05
1.275 1.474e-05
1.3250000000000002 1.3559999999999999e-05
1.375 1.246e-05
1.4249999999999998 1.068e-05
1.475 9.659999999999999e-06
1.525 8.64e-06
1.5750000000000002 7.96e-06
1.625 7.24e-06
1.6749999999999998 7.28e-06
1.725 6.52e-06
1.775 6.1599999999999995e-06
1.8250000000000002 5.7e-06
1.875 5.12e-06
1.9249999999999998 4.44e-06
1.975 4.46e-06
2.025 4.36e-06
2.075 3.96e-06
2.125 3.6e-06
2.175 3.3399999999999998e-06
2.225 3.0799999999999997e-06
2.275 2.72e-06
2.325 2.6799999999999998e-06
2.375 2.64e-06
2.425 2.56e-06
2.475 2.36e-06
2.525 2.24e-06
2.575 2.24e-06
2.625 2.08e-06
2.675 2.04e-06
2.725 1.996e-06
2.775 2.08e-06
2.825 1.69e-06
2.875 1.8219999999999999e-06
2.925 1.63e-06
2.975 1.628e-06
3.025 1.5259999999999999e-06
3.075 1.528e-06
3.125 1.466e-06
3.175 1.332e-06
3.225 1.276e-06
3.275 1.452e-06
3.325 1.248e-06
3.375 1.266e-06
3.425 1.24e-06
3.475 1.144e-06
3.525 1.124e-06
3.575 1.0299999999999999e-06
3.625 1.086e-06
3.675 1.024e-06
3.725 9.88e-07
3.775 9.74e-07
3.825 9.08e-07
3.875 9.22e-07
3.925 8.6e-07
3.975 8.7e-07
4.025 8.96e-07
4.074999999999999 7.799999999999999e-07
4.125 7.66e-07
4.175000000000001 7.68e-07
4.225 7.78e-07
4.275 7.5e-07
4.324999999999999 6.6e-07
4.375 6.699999999999999e-07
4.425000000000001 6.58e-07
4.475 6.459999999999999e-07
4.525 5.96e-07
4.574999999999999 5.939999999999999e-07
4.625 6.319999999999999e-07
4.675000000000001 5.8e-07
4.725 5.699999999999999e-07
4.775 4.48e-07
4.824999999999999 4.94e-07
4.875 4.94e-07
4.925000000000001 4.32e-07
4.975 4.38e-07
5.025 4.26e-07
5.074999999999999 3.84e-07
5.125 3.68e-07
5.175000000000001 3.88e-07
5.225 3.14e-07
5.275 3.24e-07
5.324999999999999 3.14e-07
5.375 3.18e-07
5.425000000000001 2.72e-07
5.475 2.82e-07
5.525 2.8e-07
5.574999999999999 2.5399999999999997e-07
5.625 2.56e-07
5.675000000000001 2.12e-07
5.725 2.0799999999999998e-07
5.775 2.36e-07
5.824999999999999 1.97e-07
5.875 1.872e-07
5.925000000000001 2.22e-07
5.975 1.688e-07
6.025 2.12e-07
6.074999999999999 1.85e-07
6.125 2.02e-07
6.175000000000001 1.5199999999999998e-07
6.225 1.7879999999999999e-07
6.275 1.412e-07
6.324999999999999 1.394e-07
6.375 1.628e-07
6.425000000000001 1.484e-07
6.475 1.442e-07
6.525 1.242e-07
6.574999999999999 1.312e-07
6.625 1.138e-07
6.675000000000001 1.034e-07
6.725 1.002e-07
6.775 9.8e-08
6.824999999999999 9.12e-08
6.875 9.64e-08
6.925000000000001 9.079999999999999e-08
6.975 8.5e-08
7.025 8.88e-08
7.074999999999999 7.459999999999999e-08
7.125 8.4e-08
7.175000000000001 7.38e-08
7.225 7.92e-08
7.275 6e-08
7.324999999999999 6.22e-08
7.375 7.18e-08
7.425000000000001 6.8e-08
7.475 6.8e-08
7.525 6.54e-08
7.574999999999999 5.46e-08
7.625 6.88e-08
7.675000000000001 5.4999999999999996e-08
7.725 6.2e-08
7.775 4.7599999999999996e-08
7.824999999999999 5.22e-08
7.875 5.32e-08
7.925000000000001 4.9799999999999996e-08
7.975 4.2e-08
8.025 5.3e-08
8.075 4.26e-08
8.125 4.16e-08
8.175 7.459999999999999e-08
8.225 7.04e-08
8.275 3.68e-08
8.325 4.18e-08
8.375 3.9e-08
8.425 3.3599999999999996e-08
8.475 3.7999999999999996e-08
8.525 3.4e-08
8.575 3.1399999999999997e-08
8.625 3.1399999999999997e-08
8.675 2.8599999999999998e-08
8.725 3.9e-08
8.775 2.56e-08
8.825 3.08e-08
8.875 2.46e-08
8.925 2.92e-08
8.975 2.8e-08
9.025 2.3799999999999998e-08
9.075 1.688e-08
9.125 2.32e-08
9.175 2.3e-08
9.225 2.1599999999999998e-08
9.275 2.54e-08
9.325 2.04e-08
9.375 1.56e-08
9.425 2.06e-08
9.475 1.994e-08
9.525 1.526e-08
9.575 1.51e-08
9.625 1.424e-08
9.675 1.926e-08
9.725 1.456e-08
9.775 1.23e-08
9.825 1.742e-08
9.875 1.392e-08
9.925 8.2e-09
9.975 7.62e-09
10.5 8.62e-09
11.5 4.4399999999999996e-09
12.5 2.54e-09
13.5 1.144e-09
14.5 4.7e-10
15.5 4.1e-10
16.5 2.2399999999999998e-11
17.5 4.3e-11
