                        Flux [/cm^2/50MeV/1E21POT]
Bin#   Energy           numu      numubar   nue       nuebar 
77     0.76 - 0.77      9.72e+11  3.36e+10  6.77e+09  6.33e+08 
78     0.77 - 0.78      9.30e+11  3.36e+10  6.64e+09  6.41e+08 
79     0.78 - 0.79      8.83e+11  3.40e+10  6.40e+09  6.23e+08 
80     0.79 - 0.80      8.36e+11  3.37e+10  6.21e+09  6.40e+08 
81     0.80 - 0.82      7.54e+11  3.16e+10  6.32e+09  6.31e+08 
82     0.82 - 0.84      6.67e+11  3.26e+10  6.01e+09  6.20e+08 
83     0.84 - 0.86      5.81e+11  3.11e+10  5.86e+09  6.03e+08 
84     0.86 - 0.88      5.17e+11  2.91e+10  5.45e+09  6.10e+08 
85     0.88 - 0.90      4.44e+11  2.64e+10  5.42e+09  6.01e+08 
86     0.90 - 0.95      3.66e+11  2.77e+10  4.89e+09  5.98e+08 
87     0.95 - 1.00      2.77e+11  2.55e+10  4.43e+09  5.72e+08 
88     1.00 - 1.05      2.28e+11  2.32e+10  3.94e+09  5.72e+08 
89     1.05 - 1.10      1.87e+11  2.19e+10  3.70e+09  5.48e+08 
90     1.10 - 1.15      1.62e+11  1.94e+10  3.24e+09  5.47e+08 
91     1.15 - 1.20      1.39e+11  1.76e+10  3.02e+09  5.23e+08 
92     1.20 - 1.30      1.14e+11  1.69e+10  2.71e+09  5.21e+08 
93     1.30 - 1.40      9.01e+10  1.45e+10  2.37e+09  4.87e+08 
94     1.40 - 1.50      7.39e+10  1.31e+10  2.11e+09  4.72e+08 
95     1.50 - 1.60      6.29e+10  1.09e+10  1.95e+09  4.40e+08 
96     1.60 - 1.70      5.46e+10  1.01e+10  1.80e+09  4.27e+08 
97     1.70 - 1.80      4.71e+10  8.59e+09  1.69e+09  3.97e+08 
98     1.80 - 1.90      4.11e+10  7.95e+09  1.60e+09  3.75e+08 
99     1.90 - 2.00      3.65e+10  6.75e+09  1.53e+09  3.56e+08 
100    2.00 - 2.10      3.24e+10  6.11e+09  1.48e+09  3.44e+08 
101    2.10 - 2.20      2.95e+10  5.71e+09  1.40e+09  3.28e+08 
102    2.20 - 2.30      2.81e+10  4.98e+09  1.33e+09  2.92e+08 
103    2.30 - 2.40      2.49e+10  4.45e+09  1.26e+09  2.77e+08 
104    2.40 - 2.60      2.17e+10  3.86e+09  1.18e+09  2.53e+08 
105    2.60 - 2.80      1.92e+10  3.31e+09  1.05e+09  2.27e+08 
106    2.80 - 3.00      1.79e+10  2.77e+09  9.24e+08  1.98e+08 
107    3.00 - 3.20      1.63e+10  2.34e+09  8.11e+08  1.72e+08 
108    3.20 - 3.40      1.54e+10  1.93e+09  7.04e+08  1.51e+08 
109    3.40 - 3.60      1.47e+10  1.55e+09  6.17e+08  1.33e+08 
110    3.60 - 3.80      1.36e+10  1.37e+09  5.15e+08  1.14e+08 
111    3.80 - 4.00      1.26e+10  1.24e+09  4.45e+08  9.85e+07 
112    4.00 - 4.50      1.11e+10  8.93e+08  3.39e+08  8.07e+07 
113    4.50 - 5.00      8.57e+09  6.45e+08  2.28e+08  5.93e+07 
114    5.00 - 6.00      5.35e+09  3.86e+08  1.34e+08  3.55e+07 
115    6.00 - 7.00      2.89e+09  2.04e+08  6.64e+07  1.88e+07 
116    7.00 - 8.00      1.73e+09  1.16e+08  3.40e+07  9.78e+06 
117    8.00 - 9.00      1.06e+09  7.44e+07  1.72e+07  5.23e+06 
118    9.00 - 10.00     6.28e+08  4.02e+07  9.34e+06  3.12e+06 
119    10.00 - 11.00    3.86e+08  2.21e+07  4.19e+06  1.49e+06 
120    11.00 - 12.00    2.14e+08  1.16e+07  2.53e+06  9.93e+05 
121    12.00 - 13.00    1.34e+08  6.76e+06  8.93e+05  5.74e+05 
122    13.00 - 14.00    7.30e+07  3.34e+06  5.81e+05  3.20e+05 
123    14.00 - 15.00    4.54e+07  2.46e+06  2.74e+05  4.17e+04 
124    15.00 - 16.00    2.07e+07  2.32e+06  5.21e+04  6.72e+04 
125    16.00 - 17.00    1.42e+07  1.38e+06  3.71e+04  2.21e+02 
126    17.00 - 18.00    9.55e+06  1.42e+06  7.54e+03  2.52e-08 
127    18.00 - 19.00    3.31e+06  4.45e+04  1.53e+04  0.00e+00 
128    19.00 - 20.00    1.63e+06  6.95e+03  6.43e+03  0.00e+00 
129    20.00 - 21.00    4.03e+05  4.53e+05  0.00e+00  0.00e+00 
130    21.00 - 22.00    2.11e+05  0.00e+00  0.00e+00  0.00e+00 
131    22.00 - 23.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
132    23.00 - 24.00    8.70e+03  0.00e+00  0.00e+00  0.00e+00 
133    24.00 - 25.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
134    25.00 - 26.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
135    26.00 - 27.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
136    27.00 - 28.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
137    28.00 - 29.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
138    29.00 - 30.00    0.00e+00  0.00e+00  0.00e+00  0.00e+00 
