Enu Ex El Plx Ply Plz vtx_x vtx_y vtx_z w
12312.077348783781 5525.935666050849 6787.080856979909 2.0895455032582846 6787.080003100748 2.6857641353488826 -7.72512554349504 -23940.79023654107 -14.465624914504588 1.0652680351111212e-09
11989.230459145238 811.8430841419221 11178.32654925029 -5.972343559343439 11178.3223601088 7.614139101890498 16.980322864519533 -14533.825309676817 -2.534201712347567 9.83475893083052e-10
151144.8466844417 4930.957067052252 146214.82879163645 10.790741232461755 146214.8271986819 18.691599535534397 -12.547003391895016 -28580.87028754619 -8.1867191279307 5.032070721351528e-09
84543.165926727 47046.32735401652 37497.77774695746 23.14460086636327 37497.77032994568 -4.53421996382381 -12.839755801506893 -6090.3531281349715 3.3052915781736374 3.422948874339523e-09
14127.767550891851 96.21486559607689 14032.491859542748 -0.051493056007489116 14032.489619576294 7.92784976117657 3.3193480884250737 -8858.541646303609 -0.9510507378727198 1.1017332849258012e-09
26281.7074158394 4408.99363456686 21873.65295551952 28.603313756965996 21873.604393210684 36.142870672569686 3.8439754035163847 -405.56954305479303 -2.39505825471133 1.7133617518340014e-09
47044.19563525796 5241.690841970866 41803.44396753406 -13.751723309004344 41803.42747109439 34.497748528594585 11.541770527880445 -14475.811766927596 -3.0077865375205874 2.5001729792121006e-09
9331.569208415647 4075.5642740439525 5256.944108618671 -7.953232592751019 5256.9373557040035 2.7810559109321678 -1.551824501571993 -1792.7030562679283 -4.306396410800517 8.193796631784059e-10
53733.24089871031 34978.000883872264 18756.17918908501 -3.419511924022741 18756.166303333877 -21.717976953627154 2.019944331497033 -9117.109043577686 4.162969741038978 2.604907399005905e-09
44163.50286100535 4902.093977798613 39262.3480574537 -1.554994240580616 39262.320976143776 -46.08819510939205 10.11134971261041 -766.001492096344 10.080565729178488 2.230535349256918e-09
57809.5448256074 40172.49046380388 17637.99353605048 4.5143639348971565 17637.97840033879 22.661339219722738 -0.3165894865876364 -10964.057470639236 -5.57250801473856 2.8712116225820975e-09
